name,price,stock,brand,link,labels
Billed bladet,3695,41,Billed bladet,https://live.nemligstatic.com/scommerce/images/billed-bladet.jpg?i=nzxw3hf4/5002353&w=623&h=623&mode=pad,Ugeblad
Se & Hør,3695,32,Se & Hør,https://live.nemligstatic.com/scommerce/images/se-hoer.jpg?i=p68G2yz3/5002359&w=623&h=623&mode=pad,Ugeblad
Søndag,3695,57,Søndag,https://live.nemligstatic.com/scommerce/images/soendag.jpg?i=k3ZVlqL1/5002360&w=623&h=623&mode=pad,Ugeblad
Her & nu,2495,45,Her & nu,https://live.nemligstatic.com/scommerce/images/her-nu.jpg?i=p68G2yz3/5002356&w=623&h=623&mode=pad,Ugeblad
Familie Journalen,3695,67,Familie Journalen,https://live.nemligstatic.com/scommerce/images/familie-journalen.jpg?i=A1Fbbo3q/5002354&w=623&h=623&mode=pad,Ugeblad
Ude og Hjemme,3695,26,Ude og Hjemme,https://live.nemligstatic.com/scommerce/images/ude-og-hjemme.jpg?i=p68G2yz3/5002361&w=623&h=623&mode=pad,Ugeblad
Pingvin blanding,1083,46,Toms,https://live.nemligstatic.com/scommerce/images/pingvin-blanding.jpg?i=BHmTAU0D/102317&w=623&h=623&mode=pad,Pingvin;Discount;Lakridskonfekt;Slik;Vingummi
Click mix,2095,22,Haribo,https://live.nemligstatic.com/scommerce/images/click-mix.jpg?i=kSLlK0nu/5012574&w=623&h=623&mode=pad,Drage;Konfekt;Lakrids;Skum;Slik;Vingummi
Ærter (fine),950,39,First Price,https://live.nemligstatic.com/scommerce/images/aerter-fine.jpg?i=Qj-x-2an/801007&w=623&h=623&mode=pad,Frost;Nøglehulsmærket;Grøntsager
Pommes frites (bølge),1195,35,First Price,https://live.nemligstatic.com/scommerce/images/pommes-frites-boelge.jpg?i=Qj-x-2an/803007&w=623&h=623&mode=pad,Frost;Kartofler;Pommes frites;Tilbehør
Ispinde classic,2995,42,nemlig basic,https://live.nemligstatic.com/scommerce/images/ispinde-classic.jpg?i=UdTW-dLK/5025625&w=623&h=623&mode=pad,Dessert;Frost;Is;Ispind
Ispinde m. mandel,2995,43,nemlig basic,https://live.nemligstatic.com/scommerce/images/ispinde-m-mandel.jpg?i=UdTW-dLK/5025624&w=623&h=623&mode=pad,Dessert;Frost;Is;Ispind
Tebirkes m. remonce,1495,57,Mette Munk,https://live.nemligstatic.com/scommerce/images/tebirkes-m-remonce.jpg?i=Qj-x-2an/5003487&w=623&h=623&mode=pad,Frost;Brød;Kage
